tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0484267,movie,Femmes entre hommes,Femmes entre hommes,1,1982,,80,Adult,3.6,9
tt0486405,tvMovie,Katsumi à l'école des sorcières,Katsumi à l'école des sorcières,1,2003,,179,Adult,5.2,17
tt0486825,movie,Emoções Sexuais de Um Cavalo,Emoções Sexuais de Um Cavalo,1,1986,,73,Adult,5.8,37
tt0486872,movie,A Máfia Sexual,A Máfia Sexual,1,1986,,68,Adult,5.3,24
tt0486877,movie,Ninfetas do Sexo Selvagem,Ninfetas do Sexo Selvagem,1,1983,,90,"Adult,Adventure,Drama",4.5,31
tt0487390,tvMovie,Dangereux désirs,Dangereux désirs,1,2001,,90,Romance,5.5,26
tt0488632,movie,Sex Maniacs,Sex Maniacs,1,1977,,83,Adult,6.1,32
tt0491900,movie,Sevdalim,Sevdalim,1,1980,,75,"Adult,Crime",6.4,20
tt0492416,movie,Çirpinis,Çirpinis,1,1980,,62,"Adult,Mystery,Thriller",3.5,37
tt0493921,movie,A Tara do Touro,A Tara do Touro,1,1987,,71,Adult,5.4,7
tt0493943,movie,Turbilhão dos Prazeres,Turbilhão dos Prazeres,1,1987,,,Adult,5.6,11
tt0495134,movie,O Jumento Gozador,O Jumento Gozador,1,1986,,48,Adult,8.2,7
tt0495148,movie,Manhole,Manhole,1,1978,,,Adult,6.0,7
tt0495206,movie,Tudo Dentro,Tudo Dentro,1,1984,,80,Adult,5.2,8
tt0495209,movie,Variações do Sexo Explícito,Variações do Sexo Explícito,1,1984,,82,Adult,3.8,13
tt0495716,tvMovie,Katie Morgan: A Porn Star Revealed,Katie Morgan: A Porn Star Revealed,1,2005,,,"Adult,Documentary",7.5,42
tt0495882,movie,As Rainhas da Pornografia,As Rainhas da Pornografia,1,1984,,80,Adult,5.6,14
tt0495889,movie,Sexo a Domicílio,Sexo a Domicílio,1,1984,,78,Adult,5.9,19
tt0495890,movie,Sexo dos Anormais,Sexo dos Anormais,1,1984,,80,Adult,7.1,13
tt0495891,movie,Sexo em Grupo,Sexo em Grupo,1,1984,,90,Adult,5.9,9
tt0778601,movie,"AIDS, Furor do Sexo Explícito","AIDS, Furor do Sexo Explícito",1,1985,,80,"Adult,Drama",3.1,21
tt0778628,movie,Borboletas e Garanhões,Borboletas e Garanhões,1,1985,,90,Adult,3.2,7
tt0778670,movie,Total Debauchery,Devassidão Total,1,1986,,75,Adult,4.4,38
tt0778674,movie,Dr. Christina of Sweden,Dr. Christina of Sweden,1,1970,,61,Adult,4.2,65
tt0778728,movie,The Goddaughter,The Goddaughter,1,1972,,75,"Adult,Crime",5.5,51
tt0778792,movie,As Ninfetas do Sexo Ardente,As Ninfetas do Sexo Ardente,1,1985,,90,Adult,5.1,7
tt0778795,movie,A Noite das Penetrações,A Noite das Penetrações,1,1985,,98,Adult,5.5,8
tt0778804,movie,A Pelada do Sexo,A Pelada do Sexo,1,1985,,80,Adult,6.0,10
tt0778817,movie,Rabo I,Rabo I,1,1985,,73,"Adult,Comedy",6.0,8
tt0778836,movie,A Seita do Sexo Profano,A Seita do Sexo Profano,1,1985,,75,Adult,4.3,10
tt0778839,movie,Sexo Livre,Sexo Livre,1,1985,,90,Adult,7.8,12
tt0785048,movie,The Sexualist: A Voyage to the World of Forbidden Love,The Sexualist: A Voyage to the World of Forbidden Love,1,1973,,73,"Adult,Comedy",4.8,95
tt0830534,movie,Disco Sex,Disco Sex,1,1978,,90,"Adult,Comedy",4.9,43
tt0831268,movie,7 Sins,Les 7 Derniers Outrages,1,1986,,83,Adult,4.0,22
tt0833419,movie,L'arrière-train sifflera trois fois,L'arrière-train sifflera trois fois,1,1975,,110,Western,4.3,61
tt0833420,movie,"Arrête, tu me déchires","Arrête, tu me déchires",1,1977,,80,,5.0,18
tt0833429,movie,Beast of Pleasure,La bête à plaisir,1,1975,,89,,6.2,9
tt0833430,movie,C'est la fête à mon cul,C'est la fête à mon cul,1,1977,,81,"Drama,Romance",4.9,19
