Title,Year,Genres,Rating,Votes
Big Dan,1923.0,"Drama,Romance",3.9,29
Bluebeard's 8th Wife,1923.0,"Comedy,Romance",6.7,36
Brass,1923.0,"Drama,Romance",6.1,32
Children of Jazz,1923.0,"Comedy,Drama,Romance",6.8,16
Chu-Chin-Chow,1923.0,"Adventure,Fantasy,Romance",6.2,30
Coeur fidèle,1923.0,"Drama,Romance",7.4,1521
The Covered Wagon,1923.0,"Adventure,Romance,Western",6.6,829
The Cricket on the Hearth,1923.0,"Comedy,Drama,Romance",6.1,17
Defying Destiny,1923.0,"Drama,Romance",6.4,40
Desert Rider,1923.0,"Comedy,Romance,Western",5.3,38
Destroying Angel,1923.0,"Comedy,Romance",5.0,21
Eld ombord,1923.0,"Drama,Romance",6.9,162
Enemies of Women,1923.0,"Drama,Romance,War",4.8,48
The Extra Girl,1923.0,"Comedy,Romance",6.7,1231
The Gold Diggers,1923.0,"Comedy,Romance",5.1,43
Gösta Berlings saga,1924.0,"Drama,Romance",7.0,1454
Homeward Bound,1923.0,"Adventure,Drama,Romance",5.3,38
The Hunchback of Notre Dame,1923.0,"Drama,Horror,Romance",7.2,6388
Little Old New York,1923.0,"Comedy,Romance",6.3,1133
"Love, Life and Laughter",1923.0,"Drama,Romance",7.1,22
The Man Without Desire,1923.0,"Drama,Fantasy,Romance",5.7,23
The Marriage Maker,1923.0,"Fantasy,Romance",6.7,17
Mary of the Movies,1923.0,"Drama,Romance",7.5,22
Maytime,1923.0,"Drama,Romance",6.5,63
Miss Suwanna of Siam,1923.0,Romance,6.2,16
Mulheres da Beira,1923.0,"Drama,Romance",6.6,42
Our Hospitality,1923.0,"Comedy,Romance,Thriller",7.7,12913
Paddy the Next Best Thing,1923.0,"Comedy,Romance",5.6,11
Prodigal Daughters,1923.0,"Action,Drama,Romance",6.5,29
Rosita,1923.0,"Comedy,Romance",6.5,501
Rupert of Hentzau,1923.0,"Adventure,Drama,Romance",7.8,14
Scaramouche,1923.0,"Action,Drama,Romance",7.1,723
Scarred Hands,1923.0,"Action,Adventure,Romance",6.5,24
Der Schatz,1923.0,"Drama,Romance",6.7,363
The Sea Raiders,1922.0,"Adventure,Romance",5.5,15
"Seine Frau, die Unbekannte",1923.0,"Drama,Romance",5.7,36
The Snow Bride,1923.0,"Drama,Romance",6.0,14
The Social Buccaneer,1923.0,"Adventure,Crime,Romance",6.4,19
Soul of the Beast,1923.0,"Adventure,Drama,Romance",6.6,66
Souls for Sale,1923.0,"Comedy,Drama,Romance",7.0,1154
The Spanish Dancer,1923.0,"Drama,History,Romance",6.6,119
The Temple of Venus,1923.0,"Fantasy,Romance",6.8,23
The White Rose,1923.0,"Drama,Romance",6.1,239
The White Sister,1923.0,"Drama,Romance",6.9,583
The Woman of Bronze,1923.0,"Drama,Romance",4.7,19
A Woman of Paris: A Drama of Fate,1923.0,"Drama,Romance",6.9,6456
Zaza,1923.0,"Drama,Romance",6.6,936
L'autre aile,1923.0,"Drama,Romance",5.8,23
Beau Brummel,1924.0,"Drama,History,Romance",6.6,548
Black Oxen,1923.0,"Drama,Fantasy,Romance",5.8,255
The Breaking Point,1924.0,"Mystery,Romance",6.0,15
Butterfly,1924.0,"Drama,Romance",7.1,34
Captain Blood,1924.0,"Action,Adventure,Romance",6.5,92
Cytherea,1924.0,"Drama,Romance",8.3,20
Dante's Inferno,1924.0,"Drama,Horror,Romance",5.7,225
Decameron Nights,1924.0,"Drama,Romance",8.0,14
Dorothy Vernon of Haddon Hall,1924.0,"Drama,History,Romance",6.9,189
Empty Hands,1924.0,"Adventure,Drama,Romance",4.6,33
The Female,1924.0,"Drama,Romance",6.6,17
The Fighting American,1924.0,"Action,Drama,Romance",5.7,52
La fille de l'eau,1925.0,"Drama,Romance",6.7,730
Girl Shy,1924.0,"Comedy,Romance",7.7,3790
He Who Gets Slapped,1924.0,"Drama,Horror,Romance",7.7,4550
Hearts of Oak,1924.0,"Drama,Romance",3.7,55
Her Love Story,1924.0,"Drama,Romance",5.9,29
