Title,Year,Genres,Rating,Votes
The Canterville Ghost,1944,"Comedy,Family,Fantasy",6.9,3455
Die Feuerzangenbowle,1944,"Comedy,Family",7.7,6818
Henry Aldrich Plays Cupid,1944,"Comedy,Family",8.0,107
Henry Aldrich's Little Secret,1944,"Comedy,Family,Romance",8.0,104
"Henry Aldrich, Boy Scout",1944,"Comedy,Family",6.4,136
I'll Be Seeing You,1944,"Drama,Family,Romance",7.1,2638
Meet Me in St. Louis,1944,"Comedy,Drama,Family",7.5,29371
Music for Millions,1944,"Drama,Family,War",6.7,660
My Pal Wolf,1944,"Adventure,Drama,Family",6.2,180
National Velvet,1944,"Drama,Family,Sport",7.3,8364
Once Upon a Time,1944,"Comedy,Family,Fantasy",6.1,1143
Suomisen Olli rakastuu,1944,"Comedy,Drama,Family",5.2,124
Teatertosset,1944,"Comedy,Family,Musical",6.8,71
Adventures of Rusty,1945,"Drama,Family",5.8,203
Barnen från Frostmofjället,1945,"Drama,Family",6.4,387
Det var en gång...,1945,"Adventure,Drama,Family",5.5,19
Dick Tracy,1945,"Action,Crime,Family",5.9,1729
The Enchanted Forest,1945,"Drama,Family",6.2,214
De kloge og vi gale,1945,"Comedy,Family,Romance",6.2,39
Leave It to Blondie,1945,"Comedy,Family",6.5,202
Our Vines Have Tender Grapes,1945,"Drama,Family",7.6,2470
Road to Utopia,1945,"Adventure,Comedy,Family",7.1,3859
Rockin' in the Rockies,1945,"Action,Comedy,Family",5.8,409
Son of Lassie,1945,"Adventure,Drama,Family",6.4,974
The Three Caballeros,1944,"Animation,Comedy,Family",6.3,16224
Thunderhead: Son of Flicka,1945,"Action,Drama,Family",6.3,432
A Tree Grows in Brooklyn,1945,"Drama,Family,Romance",8.0,8667
Wie sagen wir es unseren Kindern?,1949,"Comedy,Family",7.4,25
The Bandit of Sherwood Forest,1946,"Action,Adventure,Family",5.8,584
Black Beauty,1946,"Drama,Family,Romance",5.8,305
Blondie Knows Best,1946,"Comedy,Family",6.6,233
Blondie's Lucky Day,1946,"Comedy,Family",6.6,223
Courage of Lassie,1946,"Adventure,Drama,Family",6.2,1727
Dick Tracy vs. Cueball,1946,"Action,Crime,Family",5.9,1496
Far betaler,1946,"Comedy,Family,Romance",7.0,39
Hans store aften,1946,"Comedy,Drama,Family",6.8,27
It's a Wonderful Life,1946,"Drama,Family,Fantasy",8.6,523916
Jeg elsker en anden,1946,"Comedy,Family,Romance",7.0,30
Kamennyy tsvetok,1946,"Adventure,Drama,Family",7.1,547
Life with Blondie,1945,"Comedy,Family",6.7,229
Little Iodine,1946,"Comedy,Family",6.2,29
Love Laughs at Andy Hardy,1946,"Comedy,Family,Romance",5.9,816
A Night in Casablanca,1946,"Comedy,Family",6.9,7706
Pyatnadtsatiletniy kapitan,1946,"Adventure,Family",7.3,175
Smoky,1946,"Drama,Family,Music",6.6,483
Song of the South,1946,"Animation,Comedy,Family",6.9,15844
Så mødes vi hos Tove,1946,"Comedy,Drama,Family",5.9,43
Wake Up and Dream,1946,"Adventure,Drama,Family",6.1,173
The Yearling,1946,"Drama,Family,Western",7.2,6693
Le avventure di Pinocchio,1947,"Adventure,Comedy,Family",5.4,66
Banjo,1947,"Drama,Family",5.8,233
Bill and Coo,1948,"Family,Fantasy,Musical",5.5,331
Blondie in the Dough,1947,"Comedy,Family",6.6,263
Blondie's Anniversary,1947,"Comedy,Family",6.4,223
Blondie's Holiday,1947,"Comedy,Family",6.5,210
Buck Privates Come Home,1947,"Action,Comedy,Family",6.8,2236
Curley,1947,"Adventure,Comedy,Family",5.7,125
Heaven Only Knows,1947,"Family,Western",6.6,507
Joe Palooka in the Knockout,1947,"Comedy,Drama,Family",7.0,30
Life with Father,1947,"Comedy,Family",7.1,6654
Lise kommer til Byen,1947,"Comedy,Family,Romance",6.1,30
Miracle on 34th Street,1947,"Comedy,Drama,Family",7.9,57873
Mästerdetektiven Blomkvist,1947,"Adventure,Family,Mystery",6.1,175
News Hounds,1947,"Comedy,Family",6.2,344
Naar Katten er ude,1947,"Comedy,Family,Music",5.1,14
Pikku-Matti maailmalla,1947,"Drama,Family",4.9,53
The Red Stallion,1947,"Drama,Family,Western",5.7,148
The Return of Rin Tin Tin,1947,"Drama,Family",5.2,151
Robin Hood of Monterey,1947,"Drama,Family,Western",6.0,123
"Sinbad, the Sailor",1947,"Adventure,Family,Fantasy",6.1,2361
The Son of Rusty,1947,"Drama,Family",6.2,124
Bud Abbott and Lou Costello Meet Frankenstein,1948,"Comedy,Family,Fantasy",7.3,20585
The Babe Ruth Story,1948,"Biography,Drama,Family",5.2,1222
Blondie's Reward,1948,"Comedy,Family",6.6,199
Blondie's Secret,1948,"Comedy,Family",6.5,218
The Boy with Green Hair,1948,"Comedy,Drama,Family",6.7,3372
Ghar Ki Izzat,1949,"Drama,Family",6.3,33
Green Grass of Wyoming,1948,"Drama,Family,Western",6.0,499
Hills of Home,1948,"Adventure,Drama,Family",6.5,713
Calle og Palle,1948,"Comedy,Family",4.3,14
